code,description,fee
31755,Trachplsty trchphryngl fstlj,1601.51
31760,Tracheoplasty intrathoracic,1320.55
31766,Carinal reconstruction,1677.03
31770,Repair/graft of bronchus,1259.45
31775,Reconstruct bronchus,1328.94
31780,Reconstruct windpipe,1035.56
31781,Reconstruct windpipe,1231.26
31785,Remove windpipe lesion,923.44
31786,Remove windpipe lesion,1367.54
31800,Repair of windpipe injury,647.85
31805,Repair of windpipe injury,798.91
31820,Closure of windpipe lesion,448.13
31825,Repair of windpipe defect,613.95
31830,Revise windpipe scar,492.1
32035,Thoracostomy w/rib resection,731.1
32036,Thoracostomy w/flap drainage,778.43
32096,Open wedge/bx lung infiltr,768.02
32097,Open wedge/bx lung nodule,773.73
32098,Open biopsy of lung pleura,725.06
32100,Exploration of chest,781.12
32110,Explore/repair chest,1402.79
32120,Re-exploration of chest,853.29
32124,Explore chest free adhesions,903.64
32140,Removal of lung lesion(s),960.03
32141,Remove/treat lung lesions,1440.72
32150,Removal of lung lesion(s),980.51
32151,Remove lung foreign body,973.46
32160,Open chest heart massage,776.08
32200,Drain open lung lesion,1114.44
32215,Treat chest lining,787.49
32220,Release of lung,1546.12
32225,Partial release of lung,962.38
32310,Removal of chest lining,893.9
32320,Free/remove chest lining,1540.41
32400,Needle biopsy chest lining,167.17
32408,Core ndl bx lng/med perq,808.31
32440,Remove lung pneumonectomy,1497.11
32442,Sleeve pneumonectomy,2840.48
32445,Removal of lung extrapleural,3311.43
32480,Partial removal of lung,1409.5
32482,Bilobectomy,1511.54
32484,Segmentectomy,1359.82
32486,Sleeve lobectomy,2186.92
32488,Completion pneumonectomy,2250.37
32501,Repair bronchus add-on,221.88
32503,Resect apical lung tumor,1701.54
32504,Resect apical lung tum/chest,1929.12
32505,Wedge resect of lung initial,899.27
32506,Wedge resect of lung add-on,141.99
32507,Wedge resect of lung diag,141.99
32540,Removal of lung lesion,1641.79
32550,Insert pleural cath,787.49
32551,Insertion of chest tube,143.67
32552,Remove lung catheter,191.67
32553,Ins mark thor for rt perq,493.78
32554,Aspirate pleura w/o imaging,261.83
32555,Aspirate pleura w/ imaging,312.51
32556,Insert cath pleura w/o image,845.23
32557,Insert cath pleura w/ image,651.21
32560,Treat pleurodesis w/agent,277.6
32561,Lyse chest fibrin init day,101.71
32562,Lyse chest fibrin subq day,92.31
32601,Thoracoscopy diagnostic,289.69
32604,Thoracoscopy wbx sac,448.13
32606,Thoracoscopy w/bx med space,430.67
32607,Thoracoscopy w/bx infiltrate,290.69
32608,Thoracoscopy w/bx nodule,354.81
32609,Thoracoscopy w/bx pleura,240.01
32650,Thoracoscopy w/pleurodesis,653.56
32651,Thoracoscopy remove cortex,1044.96
32652,Thoracoscopy rem totl cortex,1577.67
32653,Thoracoscopy remov fb/fibrin,1011.39
32654,Thoracoscopy contrl bleeding,1133.57
32655,Thoracoscopy resect bullae,920.42
32656,Thoracoscopy w/pleurectomy,783.13
32658,Thoracoscopy w/sac fb remove,698.88
32659,Thoracoscopy w/sac drainage,720.02
32661,Thoracoscopy w/pericard exc,775.41
32662,Thoracoscopy w/mediast exc,865.03
32663,Thoracoscopy w/lobectomy,1325.24
32664,Thoracoscopy w/ th nrv exc,820.39
32665,Thoracoscop w/esoph musc exc,1173.18
32666,Thoracoscopy w/wedge resect,843.22
32667,Thoracoscopy w/w resect addl,142.33
32668,Thoracoscopy w/w resect diag,142.66
32669,Thoracoscopy remove segment,1273.89
32670,Thoracoscopy bilobectomy,1507.52
32671,Thoracoscopy pneumonectomy,1668.3
32672,Thoracoscopy for lvrs,1434.34
32673,Thoracoscopy w/thymus resect,1156.74
32674,Thoracoscopy lymph node exc,196.37
32701,Thorax stereo rad targetw/tx,188.99
32800,Repair lung hernia,921.76
32810,Close chest after drainage,878.13
32815,Close bronchial fistula,2642.1
32820,Reconstruct injured chest,1320.55
32851,Lung transplant single,3063.71
32852,Lung transplant with bypass,3344.33
32853,Lung transplant double,4260.05
32854,Lung transplant with bypass,4517.18
32900,Removal of rib(s),1298.39
32905,Revise & repair chest wall,1273.89
32906,Revise & repair chest wall,1559.21
32940,Revision of lung,1180.9
32960,Therapeutic pneumothorax,134.94
32994,Ablate pulm tumor perq crybl,4567.19
32997,Total lung lavage,301.77
32998,Ablate pulm tumor perq rf,2937.16
33016,Pericardiocentesis w/imaging,205.1
33017,Prcrd drg 6yr+ w/o cgen car,215.17
33018,Prcrd drg 0-5yr or w/anomly,252.76
33019,Perq prcrd drg insj cath ct,180.26
33020,Incision of heart sac,787.49
33025,Incision of heart sac,743.86
33030,Partial removal of heart sac,1887.16
33031,Partial removal of heart sac,2323.21
33050,Resect heart sac lesion,974.13
33120,Exc icar tum resc w/card byp,1961.35
33130,Rescj external cardiac tumor,1316.52
33140,Heart revascularize (tmr),1480.66
33141,Heart tmr w/other procedure,120.17
33202,Insert epicard eltrd open,744.86
33203,Insert epicard eltrd endo,775.07
33206,Insert heart pm atrial,404.15
33207,Insert heart pm ventricular,424.29
33208,Insrt heart pm atrial & vent,458.2
33210,Insert electrd/pm cath sngl,141.32
33211,Insert card electrodes dual,146.35
33212,Insert pulse gen sngl lead,293.72
33213,Insert pulse gen dual leads,305.13
33214,Upgrade of pacemaker system,427.65
33215,Reposition pacing-defib lead,276.6
33216,Insert 1 electrode pm-defib,332.99
33217,Insert 2 electrode pm-defib,331.98
33218,Repair lead pace-defib one,350.11
33220,Repair lead pace-defib dual,343.06
33221,Insert pulse gen mult leads,320.23
33222,Relocation pocket pacemaker,311.84
33223,Relocate pocket for defib,365.89
33224,Insert pacing lead & connect,443.76
33225,L ventric pacing lead add-on,396.43
33226,Reposition l ventric lead,425.3
33227,Remove&replace pm gen singl,303.45
33228,Remv&replc pm gen dual lead,316.88
33229,Remv&replc pm gen mult leads,331.31
33230,Insrt pulse gen w/dual leads,334.67
33231,Insrt pulse gen w/mult leads,356.82
33233,Removal of pm generator,213.49
33234,Removal of pacemaker system,431.34
33235,Removal pacemaker electrode,570.65
33236,Remove electrode/thoracotomy,782.12
33237,Remove electrode/thoracotomy,834.49
33238,Remove electrode/thoracotomy,941.9
33240,Insrt pulse gen w/singl lead,321.91
33241,Remove pulse generator,198.72
33243,Remove eltrd/thoracotomy,1309.47
33244,Remove elctrd transvenously,770.37
33249,Insj/rplcmt defib w/lead(s),801.93
33250,Ablate heart dysrhythm focus,1398.76
33251,Ablate heart dysrhythm focus,1540.75
33254,Ablate atria lmtd,1299.73
33255,Ablate atria w/o bypass ext,1558.2
33256,Ablate atria w/bypass exten,1836.14
33257,Ablate atria lmtd add-on,571.99
33258,Ablate atria x10sv add-on,639.46
33259,Ablate atria w/bypass add-on,825.09
33261,Ablate heart dysrhythm focus,1541.42
33262,Rmvl& replc pulse gen 1 lead,330.98
33263,Rmvl & rplcmt dfb gen 2 lead,344.07
33264,Rmvl & rplcmt dfb gen mlt ld,357.16
33265,Ablate atria lmtd endo,1300.74
33266,Ablate atria x10sv endo,1749.54
33267,Excl laa open any method,993.6
33268,Excl laa opn oth px any meth,117.82
33269,Excl laa thrscp any method,799.91
33270,Ins/rep subq defibrillator,495.46
33271,Insj subq impltbl dfb elctrd,408.18
33272,Rmvl of subq defibrillator,311.84
33273,Repos prev impltbl subq dfb,360.85
33274,Tcat insj/rpl perm ldls pm,421.61
33275,Tcat rmvl perm ldls pm w/img,449.47
33276,Insj phrnc nrv stim sys,507.88
33277,Insj phrnc nrv stim transvns,256.79
33278,Rmvl phrnc nrv stim sys,499.48
33279,Rmvl phrnc nrv stim transvns,310.16
33280,Rmvl phrnc nrv stim pg only,193.01
33281,Reposg phrnc nrv stim trnsvn,340.37
33285,Insj subq car rhythm mntr,4032.13
33286,Rmvl subq car rhythm mntr,129.57
33287,Rmv&rplcmt phrnc nrv stim pg,342.72
33288,Rmv&rplcmt phrnc nrv stim ld,458.53
33289,Tcat impl wrls p-art prs snr,285.66
33300,Repair of heart wound,2280.24
33305,Repair of heart wound,3786.41
33310,Exploratory heart surgery,1135.59
33315,Exploratory heart surgery,1792.5
33320,Repair major blood vessel(s),1022.47
33321,Repair major vessel,1149.69
33322,Repair major blood vessel(s),1334.98
33330,Insert major vessel graft,1370.23
33335,Insert major vessel graft,1777.73
33340,Perq clsr tcat l atr apndge,621.67
33361,Replace aortic valve perq,1084.57
33362,Replace aortic valve open,1181.24
33363,Replace aortic valve open,1227.23
33364,Replace aortic valve open,1271.2
33365,Replace aortic valve open,1280.6
33366,Trcath replace aortic valve,1407.49
33367,Replace aortic valve w/byp,561.25
33368,Replace aortic valve w/byp,680.08
33369,Replace aortic valve w/byp,898.6
33370,Tcat plmt&rmvl cepd perq,116.48
33390,Valvuloplasty aortic valve,1781.09
33391,Valvuloplasty aortic valve,2129.86
33404,Prepare heart-aorta conduit,1673.0
33405,Replacement aortic valve opn,2136.57
33406,Replacement aortic valve opn,2692.78
33410,Replacement aortic valve opn,2395.71
33411,Replacement of aortic valve,3133.19
33412,Replacement of aortic valve,2947.9
33413,Replacement of aortic valve,3030.14
33414,Repair of aortic valve,2006.67
33415,Revision subvalvular tissue,1913.68
33416,Revise ventricle muscle,1911.67
33417,Repair of aortic valve,1588.08
33418,Repair tcat mitral valve,1588.75
33419,Repair tcat mitral valve,369.91
33420,Revision of mitral valve,1394.06
33422,Revision of mitral valve,1596.13
33425,Repair of mitral valve,2562.54
33426,Repair of mitral valve,2242.98
33427,Repair of mitral valve,2284.6
33430,Replacement of mitral valve,2636.06
33440,Rplcmt a-valve tlcj autol pv,3183.88
33460,Revision of tricuspid valve,2255.4
33463,Valvuloplasty tricuspid,2879.76
33464,Valvuloplasty tricuspid,2283.93
33465,Replace tricuspid valve,2576.64
33468,Revision of tricuspid valve,2282.93
33474,Revision of pulmonary valve,2047.95
33475,Replacement pulmonary valve,2159.4
33476,Revision of heart chamber,1455.82
33477,Implant tcat pulm vlv perq,1131.9
33478,Revision of heart chamber,1500.8
33496,Repair prosth valve clot,1594.46
33500,Repair heart vessel fistula,1495.43
33501,Repair heart vessel fistula,1080.54
33502,Coronary artery correction,1231.26
33503,Coronary artery graft,1283.96
33504,Coronary artery graft,1403.79
33505,Repair artery w/tunnel,1907.64
33506,Repair artery translocation,1910.33
33507,Repair art intramural,1611.58
33508,Endoscopic vein harvest,14.43
33509,Ndsc hrv uxtr art 1 sgm cab,158.77
33510,Cabg vein single,1823.72
33511,Cabg vein two,2004.65
33512,Cabg vein three,2269.5
33513,Cabg vein four,2315.15
33514,Cabg vein five,2464.53
33516,Cabg vein six or more,2552.47
33517,Cabg artery-vein single,171.19
33518,Cabg artery-vein two,375.62
33519,Cabg artery-vein three,496.46
33521,Cabg artery-vein four,596.16
33522,Cabg artery-vein five,668.66
33523,Cabg art-vein six or more,760.3
33530,Coronary artery bypass/reop,479.68
33533,Cabg arterial single,1766.66
33534,Cabg arterial two,2071.45
33535,Cabg arterial three,2297.02
33536,Cabg arterial four or more,2472.92
33542,Removal of heart lesion,2467.88
33545,Repair of heart damage,2882.44
33548,Restore/remodel ventricle,2789.46
33572,Open coronary endarterectomy,210.47
33600,Closure of valve,1633.73
33602,Closure of valve,1588.41
33606,Anastomosis/artery-aorta,1685.76
33608,Repair anomaly w/conduit,1708.59
33610,Repair by enlargement,1685.76
33611,Repair double ventricle,1825.4
33612,Repair double ventricle,1873.4
33615,Repair modified fontan,1881.79
33617,Repair single ventricle,2033.85
33619,Repair single ventricle,2589.4
33620,Apply r&l pulm art bands,1545.11
33621,Transthor cath for stent,889.54
33622,Redo compl cardiac anomaly,3174.81
33641,Repair heart septum defect,1541.76
33645,Revision of heart veins,1626.35
33647,Repair heart septum defects,1703.55
33660,Repair of heart defects,1648.5
33665,Repair of heart defects,1791.83
33670,Repair of heart chambers,1827.75
33675,Close mult vsd,1844.53
33676,Close mult vsd w/resection,1891.86
33677,Cl mult vsd w/rem pul band,1962.36
33681,Closure 1 vsd w/wo patch,1754.57
33684,Clsr 1 vsd w/wo patch w/vlvt,1769.01
33688,Clsr 1vsd w/wo ptch rmvl bnd,1751.22
33690,Banding pulmonary artery,1161.44
33692,Comp rpr tof wo pulm atresia,1818.02
33694,Cmp rpr tof wo plm atrs ptch,1825.4
33697,Compl rpr tof w/pulm atresia,1920.4
33702,Repair of heart defects,1470.93
33710,Repair of heart defects,1917.04
33720,Repair of heart defect,1472.27
33724,Repair venous anomaly,1449.11
33726,Repair pul venous stenosis,1899.92
33730,Repair heart-vein defect(s),1888.17
33732,Repair heart-vein defect,1569.95
33735,Revision of heart chamber,1249.38
33736,Revision of heart chamber,1350.08
33741,Tas congenital car anomal,652.89
33745,Tis cgen car anomal 1st shnt,933.85
33746,Tis cgen car anomal ea addl,372.93
33750,Shunt subclavian to pulm art,1199.37
33755,Shunt as-aort to pulm art,1268.52
33762,Shunt desc aorta to pulm art,1217.83
33764,Shunt central w/prostc graft,1268.52
33766,Shunt supr v/c p-art 1 lung,1263.48
33767,Shunt supr v/c p-art bth lng,1345.72
33768,Anast cavopulm sec sup v/c,379.31
33770,Rpr tga w/o surg enlgmnt vsd,1969.07
33771,Rpr tga w/surg enlgmnt vsd,2014.72
33774,Rpr tga atrial baffle px,1711.94
33775,Rpr tga atr bfl rmvl plm bnd,1755.58
33776,Rpr tga atr bfl clsr vsd,1858.97
33777,Rpr tga bfl rpr sbpulm obstr,1776.39
33778,Rpr tga aortic pulm art rcns,2201.69
33779,Rpr tga rcnstj rmvl plm bnd,2153.69
33780,Rpr tga rcnstj clsr vsd,2198.0
33781,Rpr tga rcnstj rpr sbpl obst,2136.57
33782,Nikaidoh proc,2989.52
33783,Nikaidoh proc w/ostia implt,3226.17
33786,Repair arterial trunk,2119.45
33788,Revision of pulmonary artery,1445.42
33800,Aortic suspension,940.9
33802,Division aberrant vessel,1050.66
33803,Div aberrant vsl w/reanast,1091.95
33814,Obltrj a-pulm sep def w/byp,1456.83
33820,Repair pda by ligation,929.82
33822,Repair pda div<18 years,977.82
33824,Repair pda div 18 yrs&older,1136.93
33840,Exc coa w/direct anastomosis,1191.31
33845,Excision coa w/graft,1283.62
33851,Exc coa rpr l subcl art/prst,1221.86
33852,Rpr hypopl a-arch wo byp,1337.33
33853,Rpr hypopl a-arch w/byp,1738.46
33858,As-aort grf f/aortic dsj,3149.3
33859,As-aort grf f/ds oth/thn dsj,2273.19
33863,Ascending aortic graft,2920.37
33864,Ascending aortic graft,2981.13
33866,Aortic hemiarch graft,840.87
33871,Transvrs a-arch grf hypthrm,3018.39
33875,Thoracic aortic graft,2549.45
33877,Thoracoabdominal graft,3308.75
33880,Evasc rpr ta ndgft cov lsa,1293.69
33881,Evasc rpr ta ndgft xcov lsa,1086.24
33882,Evasc rpr ta dplmt mltpc sys,1771.69
33883,Delayed plmt prox xtn prosth,966.41
33886,Delayed plmt dstl xtn prosth,965.4
33894,Evasc st rpr thrc/aa acrs br,852.28
33895,Evasc st rpr thrc/aa x crsg,678.4
33897,Perq trluml angp nt/recr coa,504.18
33900,Perq p-art revsc 1 nm nt uni,514.25
33901,Perq p-art revsc 1 nm nt bi,676.39
33902,Perq p-art revsc 1 abnor uni,652.89
33903,Perq p-art revsc 1 abnor bi,770.37
33904,Perq p-art revsc each addl,258.47
33910,Remove lung artery emboli,2466.88
33915,Remove lung artery emboli,1309.8
33916,Surgery of great vessel,3872.68
33917,Repair pulmonary artery,1396.41
33920,Repair pulmonary atresia,1698.52
33922,Transect pulmonary artery,1328.27
33924,Remove pulmonary shunt,259.81
33925,Rpr pul art unifocal w/o cpb,1606.54
33926,Repr pul art unifocal w/cpb,2243.99
33927,Impltj tot rplcmt hrt sys,2324.89
33946,Ecmo/ecls initiation venous,280.96
33947,Ecmo/ecls initiation artery,309.83
33948,Ecmo/ecls daily mgmt-venous,218.19
33949,Ecmo/ecls daily mgmt artery,210.13
33951,Ecmo/ecls insj prph cannula,391.06
33952,Ecmo/ecls insj prph cannula,386.7
33953,Ecmo/ecls insj prph cannula,435.37
33954,Ecmo/ecls insj prph cannula,434.03
33955,Ecmo/ecls insj ctr cannula,761.65
33956,Ecmo/ecls insj ctr cannula,759.97
33957,Ecmo/ecls repos perph cnula,170.86
33958,Ecmo/ecls repos perph cnula,170.86
33959,Ecmo/ecls repos perph cnula,217.18
33962,Ecmo/ecls repos perph cnula,217.18
33963,Ecmo/ecls repos perph cnula,430.67
33964,Ecmo/ecls repos perph cnula,453.83
33965,Ecmo/ecls rmvl perph cannula,170.86
33966,Ecmo/ecls rmvl prph cannula,216.85
33967,Insert i-aort percut device,225.91
33968,Remove aortic assist device,29.88
33969,Ecmo/ecls rmvl perph cannula,251.76
33970,Aortic circulation assist,315.87
33971,Aortic circulation assist,674.71
33973,Insert balloon device,460.88
33974,Remove intra-aortic balloon,876.11
33975,Implant ventricular device,1183.93
33976,Implant ventricular device,1454.48
33977,Remove ventricular device,1040.59
33978,Remove ventricular device,1243.0
33979,Insert intracorporeal device,1777.4
33980,Remove intracorporeal device,1644.47
33981,Replace vad pump ext,761.65
33982,Replace vad intra w/o bp,1790.15
33983,Replace vad intra w/bp,2107.37
33984,Ecmo/ecls rmvl prph cannula,259.81
33985,Ecmo/ecls rmvl ctr cannula,472.97
33986,Ecmo/ecls rmvl ctr cannula,479.68
33987,Artery expos/graft artery,191.33
33988,Insertion of left heart vent,714.32
33989,Removal of left heart vent,453.83
33990,Insj perq vad l hrt arterial,314.53
33991,Insj perq vad l hrt artl&ven,417.92
33992,Rmvl perq left heart vad,165.82
33993,Reposg perq r/l hrt vad,143.0
33995,Insj perq vad r hrt venous,314.19
33997,Rmvl perq right heart vad,140.31
34001,Removal of artery clot,839.19
